주차,후보,지지율,조사업체
1월 1주차,문재인,26.8,리얼미터
1월 2주차,문재인,26.1,리얼미터
1월 3주차,문재인,29.1,리얼미터
1월 4주차,문재인,28.4,리얼미터
2월 1주차,문재인,31.2,리얼미터
2월 2주차,문재인,32.9,리얼미터
2월 3주차,문재인,32.5,리얼미터
2월 4주차,문재인,33.5,리얼미터
3월 1주차,문재인,36.4,리얼미터
3월 2주차,문재인,35.1,리얼미터
3월 3주차,문재인,36.6,리얼미터
3월 4주차,문재인,34.4,리얼미터
3월 5주차,문재인,34.9,리얼미터
4월 1주차,문재인,42.2,리얼미터
4월 2주차,문재인,44.8,리얼미터
4월 3주차,문재인,46.7,리얼미터
4월 4주차,문재인,44.4,리얼미터
5월 1주차,문재인,42.4,리얼미터
1월 1주차,홍준표,1,리얼미터
1월 2주차,홍준표,1.3,리얼미터
1월 3주차,홍준표,0.9,리얼미터
1월 4주차,홍준표,0.3,리얼미터
2월 1주차,홍준표,1.5,리얼미터
2월 2주차,홍준표,1.8,리얼미터
2월 3주차,홍준표,1.8,리얼미터
2월 4주차,홍준표,3.6,리얼미터
3월 1주차,홍준표,3.8,리얼미터
3월 2주차,홍준표,3.6,리얼미터
3월 3주차,홍준표,9.8,리얼미터
3월 4주차,홍준표,9.5,리얼미터
3월 5주차,홍준표,7.5,리얼미터
4월 1주차,홍준표,8.9,리얼미터
4월 2주차,홍준표,9,리얼미터
4월 3주차,홍준표,10.5,리얼미터
4월 4주차,홍준표,13,리얼미터
5월 1주차,홍준표,18.6,리얼미터
1월 1주차,안철수,6.5,리얼미터
1월 2주차,안철수,7,리얼미터
1월 3주차,안철수,7.4,리얼미터
1월 4주차,안철수,8.5,리얼미터
2월 1주차,안철수,10.9,리얼미터
2월 2주차,안철수,9.5,리얼미터
2월 3주차,안철수,8.8,리얼미터
2월 4주차,안철수,10.1,리얼미터
3월 1주차,안철수,10.8,리얼미터
3월 2주차,안철수,10.2,리얼미터
3월 3주차,안철수,12,리얼미터
3월 4주차,안철수,12.6,리얼미터
3월 5주차,안철수,18.7,리얼미터
4월 1주차,안철수,34.1,리얼미터
4월 2주차,안철수,34.4,리얼미터
4월 3주차,안철수,28.4,리얼미터
4월 4주차,안철수,22.8,리얼미터
5월 1주차,안철수,18.6,리얼미터
1월 1주차,유승민,3.4,리얼미터
1월 2주차,유승민,2.2,리얼미터
1월 3주차,유승민,2.2,리얼미터
1월 4주차,유승민,2.4,리얼미터
2월 1주차,유승민,4.9,리얼미터
2월 2주차,유승민,3.9,리얼미터
2월 3주차,유승민,3.9,리얼미터
2월 4주차,유승민,3.5,리얼미터
3월 1주차,유승민,2.8,리얼미터
3월 2주차,유승민,3.1,리얼미터
3월 3주차,유승민,3.8,리얼미터
3월 4주차,유승민,2.2,리얼미터
3월 5주차,유승민,2.9,리얼미터
4월 1주차,유승민,3.2,리얼미터
4월 2주차,유승민,2.3,리얼미터
4월 3주차,유승민,4.9,리얼미터
4월 4주차,유승민,5.4,리얼미터
5월 1주차,유승민,4.9,리얼미터
1월 1주차,심상정,NA,리얼미터
1월 2주차,심상정,NA,리얼미터
1월 3주차,심상정,1.6,리얼미터
1월 4주차,심상정,1.2,리얼미터
2월 1주차,심상정,1.1,리얼미터
2월 2주차,심상정,2.3,리얼미터
2월 3주차,심상정,2.1,리얼미터
2월 4주차,심상정,1.3,리얼미터
3월 1주차,심상정,1.7,리얼미터
3월 2주차,심상정,2,리얼미터
3월 3주차,심상정,3.9,리얼미터
3월 4주차,심상정,2.9,리얼미터
3월 5주차,심상정,2.9,리얼미터
4월 1주차,심상정,3.6,리얼미터
4월 2주차,심상정,3.1,리얼미터
4월 3주차,심상정,4.6,리얼미터
4월 4주차,심상정,7.5,리얼미터
5월 1주차,심상정,7.3,리얼미터
