일련번호,시도명,시군구명,대피지구명,대피장소명,주소,경도,위도,수용가능인원수(명),해변으로부터거리(M),대피소 분류명,내진적용여부,해발높이,관리기관,관리기관연락처
1,강원도,강릉시,강문,강릉고등학교,강원도 강릉시강릉대로587번길 68,128.91686,37.787813,8600,550,공공건축물,2등급,6,42150,033-640-5527
2,강원도,강릉시,강문,강릉교회,강원도 강릉시해안로 333,128.916247,37.793313,3600,100,민간건축물,2등급,6,42150,033-640-5526
3,강원도,강릉시,경포,경포산장콘도,강원도 강릉시안현동 50-2,128.900098,37.809654,800,300,민간건축물,1등급,22.9,42150,033-640-5523
5,강원도,강릉시,경포,현대아파트 앞 야산,강원도 강릉시저동 산10,128.899588,37.801328,1000,800,공터,-,10,42150,033-640-5525
6,강원도,강릉시,남항진,세인트컨벤션웨딩홀,강원도 강릉시공항길127번길 5-3,128.949709,37.765126,1000,250,민간건축물,2등급,12,42150,033-640-5528
7,강원도,강릉시,동덕,강릉원주대학 해양생물연구교육센터,강원도 강릉시사천면 해안로 1166,128.862171,37.850557,5900,150,민간건축물,1등급,7,42150,033-640-5520
8,강원도,강릉시,사천뒷불,장구바위 야산,강원도 강릉시사천면 사천진리 266-25,128.875957,37.840727,300,420,공터,-,10,42150,033-640-5521
9,강원도,강릉시,사천뒷불,강릉성결교회 부설 진리수양관,강원도 강릉시사천면 사천진리 산72-1,128.868683,37.841737,280,1100,민간건축물,1등급,10,42150,033-640-5522
10,강원도,강릉시,심곡,곰두리연수원,강원도 강릉시강동면 심곡리 90-1,129.050392,37.667539,150,350,민간건축물,2등급,61.2,42150,033-640-5530
11,강원도,강릉시,강릉항,송정해변 신도브래뉴아파트,강원도 강릉시견소동 289,128.937913,37.775796,3500,350,민간건축물,1등급,5.5,42150,033-640-5528
12,강원도,강릉시,강릉항,죽도봉,강원도 강릉시견소동 11-1,128.951554,37.769769,800,200,공터,-,32.9,42150,033-640-5569
13,강원도,강릉시,안인,봉화산,강원도 강릉시강동면 안인진리 20-1,128.986957,37.736653,50,300,공터,-,58.2,42150,033-640-5569
14,강원도,강릉시,안인,안인천주교회,강원도 강릉시강동면 안인진리 213-1,128.986083,37.730761,100,500,민간건축물,2등급,11.8,42150,033-640-5528
15,강원도,강릉시,안인,강인교회,강원도 강릉시강동면 안인진리 270-18,128.982591,37.727727,150,600,민간건축물,2등급,11.8,42150,033-640-5528
16,강원도,강릉시,안인,하시동2리 마을회관,강원도 강릉시강동면 하시동리 56-1,128.972745,37.737193,100,900,공공건축물,2등급,26.5,42150,033-640-5528
17,강원도,강릉시,영진항,육군1901부대 2대대,강원도 강릉시연곡면 영진리 137,128.847534,37.866883,700,300,공터,-,28.8,42150,033-640-5519
18,강원도,강릉시,옥계,옥계역,강원도 강릉시옥계면 동해대로 291-14,129.049666,37.619768,70,600,공공건축물,1등급,10.7,42150,033-640-5531
19,강원도,강릉시,옥계,한국여성수련원,강원도 강릉시옥계면 금진솔밭길 148-19,129.046222,37.629532,6300,300,공공건축물,1등급,10,42150,033-640-5532
20,강원도,강릉시,옥계,기마봉 야산,강원도 강릉시옥계면 금진리 96,129.048468,37.655441,2000,300,공터,-,10,42150,033-640-5533
21,강원도,강릉시,정동진,고성산,강원도 강릉시강동면 정동진리 267-4,129.032624,37.69006,120,200,공터,-,52.8,42150,033-640-5569
22,강원도,강릉시,정동진,정동초등학교,강원도 강릉시강동면 정동진리 184,129.033574,37.687221,160,300,공공건축물,1등급,10,42150,033-640-5528
23,강원도,강릉시,정동진,정동허브랜드,강원도 강릉시강동면 정동진리 51-4,129.04094,37.681013,260,400,민간건축물,2등급,63.3,42150,033-640-5529
24,강원도,강릉시,주문진항,주영초등학교,강원도 강릉시주문진읍 약수동길 15-12,128.82891,37.897137,320,650,공공건축물,1등급,21.8,42150,033-640-5516
25,강원도,강릉시,주문진항,주문진감리교회,강원도 강릉시주문진읍 항구로 43,128.82637,37.89389,500,300,민간건축물,2등급,10,42150,033-640-5517
26,강원도,강릉시,주문진항,주문진성당,강원도 강릉시주문진읍 교향안길 51,128.821923,37.885274,300,500,민간건축물,2등급,19.7,42150,033-640-5518
27,강원도,강릉시,주문진해변,소돌휴게소,강원도 강릉시주문진읍 주문북로 228,128.82936,37.905039,470,250,민간건축물,2등급,19,42150,033-640-5514
28,강원도,강릉시,주문진해변,우일아파트 야산,강원도 강릉시주문진읍 주문리 산96-1,128.825099,37.904771,800,200,공터,-,24.4,42150,033-640-5515
29,강원도,고성군,가진지구,가진교회 고지대,고성군 죽왕면 가진리 123-3,128.507909,38.37254,200,148,공터,-,12,42820,033-680-3753
30,강원도,고성군,가진지구,가진항뒷산 고지대,고성군 죽왕면 가진리 산16임,128.510808,38.368111,300,69,공터,-,17,42820,033-680-3753
31,강원도,고성군,가진지구,동호리뒷산 고지대,고성군 간성읍 동호리 산10-3임,128.476095,38.391802,500,970,공터,-,22,42820,033-680-3753
32,강원도,고성군,거진지구,거진정보공업고등학교 고지대,고성군 거진읍 거진리 432,128.450281,38.440948,1500,393,학교운동장,-,10,42820,033-680-3753
33,강원도,고성군,거진지구,거성초등학교 고지대,고성군 거진읍 거진리 180,128.457383,38.45258,1500,437,학교운동장,-,29,42820,033-680-3753
34,강원도,고성군,거진지구,거진성황당 고지대,고성군 거진읍 거진리 10-6임,128.462411,38.450475,500,138,공터,-,32,42820,033-680-3753
35,강원도,고성군,거진지구,거진중학교 고지대,고성군 거진읍 봉평리 31-1,128.447698,38.447087,1500,628,학교운동장,-,11,42820,033-680-3753
36,강원도,고성군,공현진지구,공현진교회 고지대,고성군 죽왕면 공현진리 85,128.509234,38.355317,50,186,공터,-,20,42820,033-680-3753
37,강원도,고성군,공현진지구,송지호오토캠핑장뒷산 고지대,고성군 죽왕면 오봉리 12-2,128.511635,38.342031,200,385,공터,-,17,42820,033-680-3753
